"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect"
11,1,23,2,2,0,1,0,0,0,0
21,0,176,4,1,0,1,1,1,0,0
23,0,96,3,1,0,1,0,0,1,1
32,0,96,3,1,0,1,0,0,0,0
12,0,340,2,1,0,1,1,1,0,0
24,0,96,3,1,0,1,1,1,0,0
39,0,94,2,2,0,1,0,0,0,0
9,0,96,3,0,0,0,0,0,1,0
16,0,82,2,1,0,1,0,0,1,1
15,0,96,3,1,0,0,0,0,0,0
16,0,96,3,1,0,1,1,1,0,0
16,0,96,3,1,0,0,0,0,0,0
21,0,258,3,1,0,0,0,0,0,0
16,0,187,2,2,0,1,0,0,0,0
19,0,290,2,1,0,0,0,0,0,0
19,0,346,2,3,0,1,1,0,1,0
15,0,180,2,1,0,1,0,0,0,0
20,0,96,3,1,0,1,0,0,0,0
17,0,96,3,1,0,1,1,0,0,0
15,0,96,3,1,0,1,1,0,0,0
27,0,93,2,2,0,1,0,0,0,0
21,0,96,3,1,0,1,0,1,0,0
11,0,150,3,1,0,1,1,0,0,0
29,0,96,3,1,0,1,0,0,0,0
22,0,96,3,1,0,1,1,1,0,0
19,0,187,2,1,0,1,0,0,0,0
21,0,296,2,1,0,1,1,1,0,0
18,0,96,3,1,0,1,0,1,0,0
9,0,93,2,0,0,0,0,0,0,0
22,0,152,2,1,0,1,0,0,1,1
18,0,172,2,2,0,1,1,0,0,0
13,0,341,2,1,0,1,1,1,0,0
22,0,94,2,1,0,1,1,1,0,0
21,0,96,3,1,0,1,1,0,0,0
17,0,345,2,2,0,1,0,1,0,0
26,0,96,3,1,0,1,0,1,0,0
22,0,96,3,1,0,0,0,0,0,0
13,0,96,3,1,0,1,0,0,0,0
13,0,96,3,1,0,1,1,0,0,0
23,0,96,3,1,0,1,0,0,0,0
19,0,258,3,1,0,0,0,0,0,0
19,0,112,2,1,0,1,0,1,0,0
19,0,96,3,1,0,0,0,0,0,0
31,0,71,2,2,0,0,0,0,1,0
23,0,96,3,1,0,1,1,1,0,0
16,0,258,3,1,0,1,0,0,0,0
21,0,223,3,2,0,1,0,1,1,1
23,0,242,3,1,0,0,0,0,0,0
17,0,258,3,1,0,1,1,1,0,0
20,0,96,3,1,0,0,0,0,0,0
19,0,96,3,1,0,1,0,1,0,0
16,0,123,3,2,0,1,1,1,0,0
22,0,96,3,2,0,1,0,0,0,0
47,0,94,2,2,0,1,0,0,0,0
30,0,42,2,2,0,1,0,0,0,0
17,0,96,3,1,0,1,1,0,0,0
16,0,96,3,1,0,1,0,0,0,0
18,0,96,3,1,0,1,0,0,0,0
18,0,187,2,3,0,1,0,0,0,0
22,0,96,3,1,0,1,0,0,0,0
28,0,96,3,1,0,0,0,0,0,0
33,0,195,2,1,0,1,1,0,0,0
30,0,96,3,2,0,1,0,0,0,0
22,0,175,2,2,0,1,0,0,0,0
20,0,45,3,1,0,0,0,0,0,0
32,0,302,4,1,0,1,0,0,0,0
15,0,96,3,1,0,1,1,0,0,0
19,0,96,3,1,0,1,1,1,0,0
44,0,113,3,2,0,1,0,0,0,0
17,0,139,2,1,0,1,0,0,1,1
19,0,96,3,1,0,0,0,0,0,0
30,0,96,3,1,0,1,0,1,0,0
44,0,96,3,2,0,1,0,0,0,0
24,0,176,4,1,0,1,0,0,0,0
17,0,96,3,1,0,1,0,0,0,0
36,0,45,3,1,0,1,1,0,0,0
15,0,258,3,1,0,1,0,0,0,0
18,0,96,3,1,0,1,1,0,0,0
19,0,96,3,1,0,0,0,0,0,0
10,0,112,2,1,0,1,1,1,0,0
23,0,96,3,1,0,1,1,0,0,0
19,0,242,3,1,0,1,0,0,0,0
17,0,96,3,1,0,1,1,1,0,0
46,0,96,3,4,0,1,0,0,0,0
14,0,127,2,1,0,1,1,0,0,0
19,0,242,3,1,0,1,1,0,0,0
22,0,258,3,1,0,1,0,0,0,0
24,0,96,3,1,0,1,0,0,0,0
17,0,187,2,1,0,1,0,0,0,0
39,0,96,3,1,0,0,0,0,0,0
14,0,175,2,2,0,1,1,0,0,0
23,0,45,3,1,0,1,0,0,0,0
13,0,258,3,1,0,1,1,1,0,0
20,0,345,2,2,0,1,1,1,0,0
15,0,96,3,0,0,1,0,0,0,0
26,0,96,3,1,0,1,0,0,0,0
21,0,290,2,1,0,1,0,1,0,0
27,0,258,3,1,0,1,1,0,0,0
26,0,96,3,2,0,0,0,0,0,0
18,0,113,3,1,0,1,1,0,0,0
