"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
22,0,96,3,1,0,1
22,0,96,3,1,0,1
22,0,96,3,1,0,1
17,0,175,2,0,0,1
22,0,96,3,1,0,1
25,0,112,2,2,0,1
14,0,130,2,1,0,1
26,0,242,3,2,0,1
19,0,96,3,1,0,1
21,0,96,3,0,0,1
30,0,96,3,1,0,1
26,0,96,3,1,0,1
19,0,96,3,1,0,1
20,0,258,3,1,0,1
16,0,258,3,1,0,1
36,0,96,3,1,0,1
30,0,96,3,1,0,1
23,0,88,2,1,0,1
40,0,96,3,1,0,1
16,0,345,2,2,0,1
14,0,96,3,1,0,1
23,0,96,3,1,0,1
25,0,96,3,1,0,1
34,0,180,2,1,0,1
25,0,96,3,1,0,1
16,0,71,2,2,0,0
25,0,96,3,1,0,1
28,0,258,3,1,0,1
21,0,364,3,1,0,1
43,0,113,3,1,0,1
14,0,96,3,1,0,1
19,0,94,2,2,0,1
21,0,343,2,3,0,1
24,0,96,3,1,0,1
14,0,65,3,1,0,0
27,0,45,3,1,0,0
14,0,242,3,1,0,1
12,0,46,2,1,0,0
19,0,96,3,1,0,0
20,0,96,3,1,0,1
32,0,258,3,1,0,1
17,0,96,3,1,0,1
16,0,248,2,1,0,1
19,0,345,2,2,0,1
27,0,96,3,1,0,1
17,0,258,3,1,0,1
44,0,113,3,3,0,0
23,0,96,3,1,0,0
16,0,258,3,1,0,1
17,0,96,3,1,0,1
22,0,96,3,1,0,1
32,0,258,3,2,0,1
30,0,96,3,1,0,1
27,0,96,3,1,0,0
23,0,80,2,2,0,1
14,0,96,3,1,0,1
20,0,90,5,1,0,1
44,0,261,4,3,0,1
38,0,96,3,1,0,1
23,0,96,3,1,0,0
18,0,248,2,1,0,1
24,0,176,4,2,0,1
31,0,45,3,1,0,1
20,0,90,5,1,0,0
15,0,136,2,1,0,1
15,0,345,2,2,0,1
17,0,335,3,1,0,0
14,0,96,3,1,0,1
25,0,96,3,1,0,1
23,0,96,3,1,0,0
28,0,96,3,1,0,1
29,0,96,3,1,0,1
26,0,96,3,1,0,1
27,0,96,3,1,0,1
15,0,364,3,1,0,1
25,0,96,3,1,0,1
17,0,258,3,1,0,1
13,0,127,2,1,0,1
12,0,96,3,1,0,1
15,0,82,2,1,0,1
17,0,345,2,2,0,1
24,0,96,3,1,0,1
13,0,159,2,1,0,1
47,0,94,2,2,0,1
31,0,335,3,4,0,0
16,0,60,2,1,0,1
84,0,258,3,3,0,1
20,0,96,3,1,0,1
18,0,88,2,1,0,1
17,0,112,2,1,0,1
16,0,258,3,1,0,1
17,0,96,3,1,0,1
21,0,96,3,1,0,1
22,0,302,4,1,0,1
19,0,94,2,1,0,1
18,0,258,3,1,0,1
26,0,96,3,1,0,1
31,0,96,3,1,0,1
13,0,215,2,2,0,1
15,0,96,3,1,0,1
25,0,96,3,1,0,1
25,0,96,3,1,0,1
25,0,96,3,1,0,1
38,0,96,3,1,0,1
20,0,45,3,1,0,1
13,0,153,2,1,0,1
24,0,345,2,2,0,1
21,0,71,2,2,0,1
18,0,50,2,2,0,1
18,0,225,2,1,0,1
23,0,112,2,1,0,1
29,0,96,3,1,0,1
17,0,96,3,1,0,1
16,0,191,2,2,0,1
16,0,96,3,2,0,0
16,0,112,2,1,0,1
32,0,96,3,2,0,0
13,0,96,3,1,0,1
22,0,96,3,1,0,1
11,0,96,3,0,0,1
25,0,345,2,2,0,1
12,0,258,3,1,0,1
22,0,258,3,2,0,0
21,0,258,3,1,0,1
12,0,242,3,1,0,1
15,0,288,5,1,0,0
25,0,96,3,1,0,1
35,0,96,3,1,0,1
13,0,96,3,1,0,1
18,0,138,4,1,0,1
25,0,96,3,1,0,1
17,0,96,3,1,0,1
14,0,242,3,1,0,1
13,0,110,2,1,0,1
44,0,96,3,1,0,0
23,0,96,3,1,0,1
31,0,96,3,1,0,1
41,0,242,3,4,0,1
16,0,96,3,1,0,1
19,0,96,3,1,0,1
18,0,137,3,2,0,1
23,0,96,3,1,0,1
28,0,96,3,1,0,1
21,0,258,3,1,0,1
47,0,94,2,2,0,1
25,0,96,3,1,0,1
27,0,96,3,1,0,0
23,0,136,2,1,0,1
14,0,82,2,1,0,1
29,0,242,3,1,0,1
17,0,96,3,1,0,1
14,0,96,3,1,0,0
32,0,96,3,2,0,1
19,0,123,3,1,0,1
28,0,94,2,1,0,1
21,0,337,2,2,0,1
41,0,94,2,2,0,1
15,0,96,3,0,0,0
22,0,71,2,1,0,0
22,0,258,3,1,0,1
19,0,96,3,1,0,1
32,0,242,3,1,0,1
21,0,96,3,1,0,1
16,0,50,2,1,0,1
18,0,153,2,1,0,1
26,0,96,3,1,0,1
28,0,258,3,1,0,1
18,0,337,2,2,0,1
27,0,96,3,1,0,1
18,0,96,3,1,0,1
16,0,290,2,1,0,1
17,0,96,3,1,0,1
22,0,258,3,1,0,1
16,0,258,3,1,0,1
15,0,96,3,1,0,1
18,0,242,3,1,0,1
16,0,82,2,1,0,1
17,0,302,4,1,0,1
18,0,258,3,1,0,0
18,0,96,3,1,0,1
19,0,96,3,1,0,1
13,0,96,3,1,0,1
28,0,258,3,1,0,1
20,0,290,2,2,0,1
44,0,94,2,1,0,1
17,0,123,3,2,0,1
29,0,225,2,0,0,1
18,0,96,3,1,0,1
22,0,96,3,1,0,1
21,0,96,3,1,0,1
16,0,248,2,1,0,1
19,0,96,3,1,0,1
17,0,96,3,1,0,1
18,0,96,3,1,0,1
20,0,96,3,1,0,1
16,0,258,3,1,0,1
24,0,96,3,2,0,0
14,0,345,2,2,0,1
23,0,96,3,1,0,1
16,0,96,3,1,0,1
16,0,96,3,1,0,0
23,0,345,2,2,0,1
21,0,82,2,1,0,1
15,0,180,2,1,0,1
17,0,45,3,1,0,1
19,0,211,2,2,0,1
12,0,96,3,1,0,1
20,0,258,3,1,0,1
15,0,75,2,1,0,1
18,0,45,3,1,0,1
27,0,258,3,1,0,1
18,0,96,3,1,0,1
12,0,289,2,1,0,1
17,0,45,3,1,0,1
12,0,258,3,1,0,1
15,0,96,3,1,0,1
12,0,52,2,2,0,1
25,0,96,3,1,0,1
26,0,96,3,1,0,1
22,0,367,2,2,0,1
21,0,96,3,1,0,0
20,0,96,3,1,0,1
22,0,176,4,1,0,1
26,0,96,3,1,0,1
18,0,96,3,1,0,1
21,0,277,2,2,0,1
16,0,96,3,1,0,1
25,0,96,3,1,0,1
14,0,123,3,1,0,1
25,0,345,2,2,0,1
25,0,96,3,1,0,1
21,0,170,2,1,0,1
12,0,258,3,1,0,1
30,0,96,3,1,0,1
24,0,75,2,2,0,1
14,0,60,2,1,0,1
26,0,96,3,1,0,1
56,0,96,3,1,0,1
20,0,96,3,1,0,0
23,0,302,4,1,0,1
12,0,258,3,1,0,1
12,0,96,3,1,0,1
16,0,96,3,1,0,1
36,0,96,3,1,0,1
21,0,96,3,1,0,1
18,0,258,3,1,0,1
20,0,96,3,1,0,1
27,0,96,3,1,0,0
21,0,96,3,1,0,0
17,0,96,3,1,0,1
23,0,96,3,1,0,1
13,0,96,3,1,0,1
14,0,175,2,2,0,1
18,0,290,2,2,0,1
29,0,96,3,1,0,1
16,0,175,2,1,0,1
41,0,261,4,2,0,1
19,0,96,3,1,0,1
14,0,96,3,1,0,1
32,0,180,2,1,0,1
17,0,258,3,1,0,1
16,0,96,3,1,0,0
16,0,75,2,1,0,1
21,0,96,3,1,0,1
33,0,96,3,1,0,0
17,0,113,3,1,0,1
18,0,242,3,1,0,0
16,0,96,3,1,0,1
50,0,96,3,1,0,1
13,0,96,3,1,0,1
21,0,258,3,1,0,1
23,0,96,3,1,0,0
28,0,96,3,1,0,1
37,0,300,4,4,0,0
12,0,176,4,1,0,1
30,0,94,2,2,0,0
21,0,180,2,2,0,0
20,0,258,3,1,0,1
18,0,96,3,1,0,1
47,0,94,2,2,0,1
30,0,94,2,1,0,0
24,0,96,3,1,0,1
14,0,175,2,1,0,0
18,0,96,3,1,0,1
14,0,96,3,1,0,1
32,0,258,3,1,0,1
25,0,96,3,1,0,1
31,0,335,3,4,0,0
19,0,96,3,1,0,1
19,0,96,3,1,0,1
37,0,335,3,3,0,1
26,0,345,2,2,0,1
47,0,94,2,2,0,1
21,0,176,4,1,0,1
42,0,96,3,1,0,0
18,0,242,3,1,0,1
16,0,82,2,1,0,1
16,0,96,3,1,0,0
28,0,71,2,2,0,1
19,0,311,5,1,0,1
20,0,96,3,1,0,1
26,0,96,3,1,0,1
26,0,96,3,1,0,1
28,0,175,2,1,0,1
11,0,248,2,1,0,1
22,0,96,3,1,0,1
74,0,205,4,2,0,1
14,0,96,3,1,0,1
44,0,94,2,1,0,0
24,0,345,2,2,0,1
16,0,96,3,1,0,1
27,0,96,3,0,0,1
24,0,242,3,1,0,1
18,0,113,3,1,0,1
32,0,96,3,3,0,0
16,0,96,3,1,0,0
13,0,112,2,1,0,1
18,0,96,3,1,0,1
18,0,258,3,2,0,0
18,0,206,4,1,0,1
11,0,96,3,0,1,1
23,0,96,3,1,0,1
21,0,221,2,2,0,0
26,0,96,3,1,0,1
45,0,96,3,1,0,1
18,0,194,2,1,0,1
23,0,96,3,1,0,1
15,0,96,3,1,0,1
33,0,45,3,2,0,0
12,0,88,2,1,0,1
43,0,113,3,2,0,1
36,0,96,3,1,0,1
37,0,180,2,1,0,1
18,0,96,3,1,0,1
46,0,96,3,1,0,1
22,0,96,3,1,0,0
33,0,96,3,1,0,0
33,0,96,3,1,0,1
22,0,96,3,1,0,0
52,0,180,2,1,0,1
33,0,93,2,2,0,1
17,0,187,2,1,0,1
15,0,258,3,1,0,1
18,0,65,3,1,0,1
73,0,205,4,2,0,0
14,0,351,3,1,0,1
16,0,112,2,1,0,1
57,0,242,3,1,0,1
19,0,96,3,1,0,1
22,0,96,3,1,0,1
19,0,96,3,1,0,1
12,0,96,3,1,0,1
11,0,175,2,1,0,1
14,0,258,3,1,0,1
15,0,96,3,0,0,1
26,0,96,3,1,0,1
16,0,96,3,1,0,1
18,0,258,3,1,0,1
13,0,121,5,1,0,1
15,0,82,2,1,0,1
23,0,96,3,1,0,1
16,0,191,2,2,0,1
16,0,96,3,1,0,1
10,0,123,3,1,0,1
28,0,96,3,1,0,1
25,0,96,3,1,0,1
27,0,96,3,2,0,1
18,0,96,3,1,0,1
17,0,340,2,1,0,1
14,0,96,3,0,0,1
16,0,258,3,1,0,1
11,0,96,3,0,0,1
24,0,96,3,1,0,1
26,0,176,4,1,0,0
13,0,258,3,1,0,1
19,0,248,2,1,0,1
25,0,96,3,1,0,1
20,0,248,2,1,0,1
28,0,96,3,2,0,0
15,0,112,2,1,0,1
18,0,45,3,1,0,1
21,0,96,3,1,0,1
14,0,96,3,1,0,1
24,0,96,3,1,0,1
36,0,96,3,3,0,0
7,0,175,2,0,0,0
15,0,56,2,1,0,1
20,0,304,4,1,0,1
25,0,96,3,1,0,1
32,0,96,3,1,0,1
28,0,345,2,2,0,1
19,0,170,2,1,0,1
14,0,82,2,1,0,1
24,0,253,2,2,0,1
42,0,96,3,1,0,1
20,0,96,3,1,0,1
11,0,258,3,1,0,1
14,0,278,2,2,0,1
23,0,258,3,2,0,0
