"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
1,1,0,0,0,0,3,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,8,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,8,0,1
0,1,0,1,1,0,3,0,0
0,0,0,0,0,0,3,5,1
0,0,0,0,0,0,1,6,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14,0,1
1,1,0,0,1,0,5,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,18,2,1
0,0,0,1,1,0,1,3,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,5,0,1
1,1,0,0,1,0,5,1,1
1,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,30,0,1
1,1,0,1,0,0,3,2,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,10,474,1
0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
1,1,0,1,0,0,1,5,1
0,1,0,1,1,0,9,5,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,13,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,52,9,1
0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,4,0,0
1,0,0,0,0,0,7,3,1
1,0,1,0,1,0,12,0,1
0,0,0,1,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1
1,1,1,1,1,0,10,12,1
0,1,0,0,1,0,9,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,18,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,9,2,1
1,0,0,1,0,1,3,1,0
1,1,0,1,0,0,8,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,4,0,1
1,0,0,1,0,0,13,3,1
0,1,0,0,0,0,24,2,1
1,0,0,0,0,0,10,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,5,1
1,0,0,0,0,0,10,1,1
1,1,0,0,0,0,15,0,1
1,0,0,0,0,0,14,1,1
1,1,0,1,0,0,12,0,1
1,1,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,7,3,1
1,1,1,0,1,0,2,6,1
1,1,0,0,0,0,4,1,1
1,1,0,0,1,0,10,1,1
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,25,0,1
1,1,1,0,0,0,9,0,1
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1
1,1,1,1,0,1,3,5,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,28,15,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,6,715,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,1
1,1,0,0,1,0,32,12,1
1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,8,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1
1,1,0,0,1,0,13,0,1
1,0,0,0,0,0,12,2,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1
1,0,0,1,1,0,9,0,1
0,0,0,0,0,0,14,4,1
1,0,0,0,0,0,4,0,1
0,0,0,0,0,0,10,11,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1
1,1,0,0,1,0,8,1,1
0,1,0,0,0,0,9,0,1
0,0,0,0,0,0,18,0,1
0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,11,0,1
1,1,1,0,0,0,18,8,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,9,1
1,1,1,0,1,0,39,12,1
0,1,0,0,0,0,4,1,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,16,13,1
1,0,0,0,0,0,6,3,1
0,1,0,0,1,0,21,7,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,5,1,1
0,1,0,0,1,0,54,1,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,6,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,7,2,1
0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,8,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,2,1
0,0,0,0,0,0,7,1,1
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
1,1,1,1,0,0,5,0,1
1,1,0,0,0,0,3,1,1
0,0,0,1,1,0,0,0,0
1,1,0,0,1,0,21,0,1
1,1,0,0,0,0,13,1,1
1,1,0,0,1,0,0,0,1
1,0,0,0,0,0,3,20,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,13,2,1
1,0,0,0,1,0,6,0,1
0,1,0,0,0,0,2,0,0
0,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,23,1,1
0,1,0,0,1,0,29,0,1
1,1,0,0,1,0,21,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,17,3,1
1,0,0,0,1,0,11,4,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,13,85,1
0,0,0,0,0,0,0,0,0
