"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
24,0,258,3,1,0,1
41,0,242,3,4,0,1
25,0,96,3,0,0,0
27,0,96,3,1,0,1
10,0,258,3,1,0,1
19,0,94,2,2,0,1
18,0,96,3,1,0,0
26,0,96,3,2,0,0
11,0,150,3,1,0,1
32,0,96,3,2,0,1
11,0,94,2,0,0,1
16,0,96,3,1,0,1
19,0,175,2,2,0,0
20,0,96,3,1,0,1
45,0,343,2,2,0,1
42,0,96,3,4,0,0
16,0,96,3,1,0,1
20,0,96,3,1,0,1
16,0,136,2,1,0,1
25,0,96,3,1,0,1
19,0,96,3,1,0,1
26,0,96,3,1,0,1
18,0,139,2,1,0,1
18,0,113,3,1,0,1
26,0,258,3,1,0,1
14,0,96,3,1,0,1
47,0,94,2,2,0,1
28,0,96,3,1,0,1
17,0,96,3,1,0,1
20,0,264,2,1,0,1
23,0,96,3,1,0,1
17,0,45,3,1,0,1
15,0,345,2,2,0,1
23,0,96,3,1,0,1
19,0,50,2,2,0,1
19,0,96,3,1,0,0
25,0,258,3,2,0,1
9,0,181,2,0,0,1
24,0,96,3,1,0,1
18,0,96,3,1,0,1
18,0,96,3,0,0,0
25,0,96,3,1,0,1
26,0,96,3,1,0,1
35,0,96,3,1,0,1
19,0,96,3,1,0,1
19,0,96,3,1,0,1
32,0,96,3,1,0,1
25,0,96,3,1,0,1
27,0,96,3,1,0,1
14,0,96,3,1,0,1
13,0,139,2,1,0,1
21,0,258,3,1,0,1
15,0,139,2,1,0,1
15,0,96,3,1,0,1
20,0,96,3,1,0,0
41,0,362,2,1,0,1
14,0,117,2,2,0,1
21,0,96,3,2,0,1
17,0,96,3,1,0,1
18,0,50,2,3,0,1
26,0,96,3,1,0,1
20,0,96,3,1,0,1
20,0,90,5,1,0,0
10,0,75,2,1,0,1
19,0,96,3,1,0,1
29,0,96,3,1,0,1
9,0,128,2,1,0,1
36,0,94,2,1,0,1
11,0,258,3,1,0,1
28,0,45,3,1,0,1
25,0,96,3,1,0,1
19,0,96,3,0,0,1
24,0,258,3,1,0,1
16,0,96,3,1,0,0
17,0,88,2,1,0,1
21,0,96,3,1,0,1
24,0,346,2,1,0,0
17,0,258,3,1,0,1
14,0,270,2,2,0,1
25,0,96,3,1,0,1
22,0,96,3,1,0,1
33,0,242,3,1,0,0
30,0,221,2,1,0,1
20,0,96,3,1,0,1
19,0,96,3,1,0,1
16,0,96,3,1,0,1
12,0,187,2,1,0,1
19,0,96,3,1,0,1
32,0,345,2,2,0,1
20,0,242,3,1,0,0
14,0,96,3,1,0,1
29,0,128,2,1,0,1
14,0,96,3,1,0,1
30,0,253,2,2,0,1
23,0,96,3,1,0,1
16,0,345,2,3,0,1
16,0,251,2,1,0,1
24,0,258,3,1,0,1
36,0,96,3,1,0,1
29,0,50,2,2,0,1
16,0,96,3,2,0,0
18,0,96,3,1,0,1
21,0,96,3,1,0,1
22,0,96,3,1,0,0
7,0,180,2,0,0,1
18,0,150,3,2,0,1
23,0,96,3,1,0,0
20,0,96,3,1,0,1
27,0,45,3,1,0,1
14,0,150,3,2,0,1
18,0,96,3,1,0,1
14,0,96,3,1,1,0
15,0,50,2,2,0,1
20,0,94,2,2,0,1
17,0,96,3,1,0,1
17,0,96,3,1,0,0
18,0,96,3,1,0,1
13,0,96,3,1,0,1
21,0,187,2,3,0,1
27,0,176,4,1,0,0
31,0,127,2,1,0,1
27,0,71,2,2,0,1
34,0,45,3,1,0,0
21,0,96,3,1,0,1
21,0,96,3,1,0,1
21,0,96,3,1,0,1
15,0,187,2,2,0,1
34,0,75,2,1,0,1
28,0,180,2,1,0,1
26,0,96,3,2,0,0
16,0,96,3,1,0,1
20,0,96,3,1,0,1
12,0,94,2,1,0,1
17,0,123,3,2,0,1
18,0,113,3,1,0,1
29,0,45,3,1,0,1
18,0,96,3,1,0,1
22,0,96,3,1,0,1
