"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
31,0,96,3,1,0,1
26,0,258,3,1,0,1
31,0,335,3,4,0,0
14,0,84,2,1,0,1
25,0,96,3,1,0,1
29,0,96,3,1,0,1
17,0,96,3,1,0,1
27,0,96,3,1,0,0
15,0,242,3,1,0,1
33,0,302,4,1,0,1
19,0,345,2,2,0,0
16,0,96,3,1,0,1
22,0,96,3,1,0,0
19,0,96,3,0,0,1
13,0,346,2,1,0,1
18,0,45,3,1,0,1
16,0,96,3,1,0,1
29,0,96,3,1,0,1
15,0,71,2,2,0,1
60,0,96,3,1,0,0
10,0,335,3,0,0,1
16,0,96,3,1,0,1
16,0,96,3,1,0,1
19,0,96,3,2,0,1
29,0,50,2,2,0,1
19,0,96,3,1,0,1
12,0,96,3,1,0,1
19,0,225,2,1,0,1
12,0,258,3,1,0,1
22,0,345,2,2,0,1
19,0,258,3,1,0,1
16,0,359,4,1,0,1
27,0,45,3,1,0,1
18,0,258,3,1,0,1
11,0,248,2,1,0,1
10,0,136,2,1,0,1
40,0,96,3,1,0,1
22,0,96,3,1,0,1
20,0,223,3,2,0,1
12,0,96,3,1,0,1
66,0,221,2,1,0,1
21,0,180,2,2,0,1
31,0,45,3,1,0,1
31,0,93,2,3,0,0
17,0,309,5,1,0,1
23,0,337,2,2,0,1
20,0,88,2,1,0,1
20,0,96,3,1,0,1
33,0,94,2,2,0,1
30,0,113,3,2,0,0
23,0,96,3,1,0,1
16,0,96,3,1,0,1
14,0,96,3,1,0,1
17,0,96,3,1,0,1
14,0,96,3,1,0,1
14,0,171,2,1,0,1
11,0,96,3,1,0,0
21,0,96,3,1,0,1
37,0,302,4,1,0,1
26,0,96,3,1,0,1
27,0,96,3,3,0,0
26,0,96,3,2,0,0
25,0,96,3,1,0,0
19,0,96,3,1,0,1
17,0,187,2,2,0,1
15,0,96,3,1,0,1
15,0,258,3,1,0,1
40,0,261,4,2,0,1
21,0,258,3,1,0,1
23,0,84,2,1,0,1
28,0,96,3,1,0,1
21,0,242,3,1,0,1
48,0,113,3,2,0,0
14,0,96,3,2,0,1
28,0,258,3,1,0,1
16,0,82,2,1,0,1
17,0,96,3,0,0,1
19,0,96,3,1,0,1
8,0,74,2,0,0,1
25,0,96,3,1,0,1
37,0,96,3,1,0,0
32,0,261,4,1,0,1
9,0,93,2,0,0,0
17,0,96,3,1,0,1
20,0,96,3,1,0,0
11,0,35,2,0,0,1
29,0,96,3,1,0,1
44,0,96,3,1,0,1
18,0,112,2,1,0,1
16,0,96,3,1,0,1
13,0,96,3,1,0,1
15,0,351,3,1,0,0
24,0,96,3,1,0,1
25,0,96,3,1,0,1
19,0,96,3,1,0,1
