"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,7,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,19,0,1
1,1,1,1,1,0,74,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,11,0,1
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,2,1,1
1,0,1,0,0,0,1,0,0
1,1,0,1,0,0,5,3,1
1,0,0,1,0,0,4,2,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,5,1,1
0,0,0,0,1,0,4,7,1
0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,5,0,1
0,0,0,0,0,0,6,0,1
1,1,0,0,0,0,33,0,1
0,0,0,0,1,0,1,2,1
0,1,0,0,0,0,3,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,3,1
0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,32,0,1
0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,13,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,5,0,1
0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,3,0,0
1,0,0,0,0,0,9,2,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,29,1,1
0,0,0,0,1,0,27,2,1
1,1,0,0,0,0,4,10,1
1,1,1,0,0,0,38,17,1
0,0,0,1,0,0,8,4,1
1,1,0,0,0,0,5,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,8,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,41,0,1
0,1,0,0,0,0,15,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,7,2,1
0,1,0,0,1,0,21,2,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,2,2,1
1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,5,5,1
1,0,1,0,1,0,15,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,5,1
1,1,0,0,1,0,27,0,1
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,3,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,4,1,1
0,0,0,0,0,0,34,6,1
0,0,0,1,1,0,3,0,1
1,0,0,0,0,0,14,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,11,2,1
1,1,0,0,1,0,4,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,1
1,1,0,0,0,0,14,23,1
0,1,0,1,1,0,3,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,8,0,1
1,1,0,0,1,0,5,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,4,1,1
1,1,0,1,1,0,15,2,1
0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,22,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,2,1
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,17,1
1,1,0,0,0,1,9,0,1
1,0,0,1,1,0,3,3,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,5,0,1
1,0,0,0,0,0,21,1,1
1,0,0,0,0,0,10,3,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,1
0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,1,1
1,0,0,1,0,0,1,1,1
1,0,0,0,1,0,1,0,1
1,1,0,0,0,0,4,0,1
0,0,0,1,1,0,14,7,1
0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,11,12,1
0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,7,4,1
0,0,0,0,1,0,4,1,1
0,1,0,0,0,0,6,1,1
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,6,10,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,17,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1
1,1,0,1,1,0,8,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,7,0,1
0,0,0,0,0,0,1,0,1
1,1,0,1,1,0,5,7,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,6,0,0
1,1,0,1,1,0,10,1,1
1,1,0,0,0,0,48,0,1
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,7,5,1
