"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect"
28,0,267,11,1,0,1,0,0,0
17,0,248,2,0,0,1,0,0,0
16,0,345,2,3,0,1,1,0,0
21,0,96,3,1,0,1,0,0,0
26,0,96,3,1,0,1,0,1,0
23,0,96,3,1,0,1,0,0,0
15,0,96,3,2,0,0,0,0,0
15,0,191,2,1,0,1,1,0,1
28,0,345,2,2,0,1,1,0,0
17,0,223,3,2,0,1,1,1,1
12,0,96,3,1,0,1,1,0,0
15,0,50,2,2,0,1,0,0,1
21,0,96,3,1,0,1,1,0,0
13,0,96,3,1,0,1,0,0,1
16,0,258,3,1,0,1,1,1,0
31,0,290,2,1,0,1,0,1,0
15,0,96,3,1,0,1,0,0,0
19,0,96,3,1,0,1,0,0,0
60,0,96,3,1,0,1,1,0,0
46,0,96,3,1,0,1,0,0,0
13,0,96,3,1,0,0,0,0,0
12,0,93,2,1,0,0,0,0,0
12,0,96,3,1,0,1,0,0,0
13,1,24,2,2,0,1,0,0,0
37,0,335,3,3,0,1,0,0,1
11,0,200,2,1,0,0,0,0,0
13,0,96,3,1,0,1,0,0,0
12,0,258,3,1,0,1,1,0,0
37,0,302,4,1,0,1,0,0,0
14,0,96,3,1,0,1,0,1,1
25,0,96,3,1,0,1,0,0,0
13,0,96,3,0,0,1,0,0,0
13,0,56,2,1,0,1,1,1,0
16,0,96,3,1,0,0,0,0,0
26,0,96,3,1,0,1,1,0,0
26,0,96,3,1,0,1,0,1,0
17,0,96,3,1,0,1,0,1,0
24,0,96,3,1,0,1,1,0,0
33,0,94,2,2,0,1,0,0,0
42,0,96,3,1,0,1,0,0,0
26,0,96,3,1,0,1,1,1,0
10,0,112,2,1,0,1,0,0,0
31,0,136,2,3,0,1,1,1,0
19,0,96,3,1,0,1,0,0,0
15,0,335,3,1,0,1,0,0,0
27,0,341,2,3,0,1,0,0,0
14,0,93,2,1,0,0,0,0,0
21,0,345,2,2,0,1,0,1,0
17,0,71,2,1,0,1,0,1,0
10,0,328,2,0,0,0,0,0,0
