"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
15,0,96,3,1,0,1
18,0,96,3,0,0,1
22,0,356,7,1,0,1
36,0,113,3,3,0,0
21,0,96,3,1,0,1
22,0,96,3,1,0,1
20,0,94,2,1,0,1
19,0,261,4,1,0,1
19,0,96,3,1,0,1
15,0,258,3,1,0,1
20,0,249,2,2,0,1
23,0,96,3,1,0,1
17,0,96,3,2,0,0
11,1,23,2,2,0,1
21,0,71,2,3,0,1
25,0,96,3,1,0,1
21,0,242,3,1,0,1
21,0,96,3,1,0,1
18,0,96,3,1,0,0
16,0,296,2,1,0,1
21,0,183,2,1,0,1
17,0,96,3,1,0,1
29,0,96,3,1,0,1
16,0,96,3,1,0,1
21,0,258,3,1,0,1
17,0,96,3,1,0,1
16,0,170,2,1,0,1
16,0,96,3,1,0,1
18,0,96,3,1,0,1
30,0,96,3,1,0,1
21,0,96,3,1,0,0
18,0,96,3,1,0,0
19,0,96,3,1,0,1
13,0,96,3,1,0,1
25,0,96,3,1,0,1
20,0,96,3,1,0,1
18,0,242,3,1,0,1
27,0,258,3,1,0,1
24,0,96,3,1,0,1
16,0,123,3,2,0,1
27,0,96,3,1,0,1
37,0,221,2,3,4,0
18,0,139,2,1,0,1
22,0,96,3,1,0,1
15,0,139,2,1,0,1
14,0,258,3,1,0,1
15,0,96,3,1,0,0
25,0,50,2,1,0,1
19,0,258,3,1,0,1
20,0,96,3,1,0,1
22,0,175,2,3,0,0
15,0,180,2,1,0,1
32,0,96,3,1,0,1
15,0,96,3,1,0,1
14,0,136,2,1,0,1
19,0,112,2,1,0,1
13,0,290,2,0,0,1
15,0,96,3,1,0,1
32,0,225,2,0,0,1
34,0,96,3,0,0,0
36,0,96,3,1,0,1
20,0,96,3,1,0,1
22,0,96,3,1,0,1
10,0,314,2,1,0,1
20,0,96,3,1,0,1
17,0,96,3,1,0,0
12,0,258,3,1,0,1
21,0,341,2,2,0,1
20,0,290,2,2,0,1
17,0,50,2,2,0,1
22,0,96,3,1,0,1
28,0,96,3,1,0,1
21,0,242,3,0,0,0
17,0,96,3,1,0,1
9,0,49,2,1,0,1
13,0,335,3,0,0,1
23,0,96,3,1,0,1
41,0,96,3,1,0,1
24,0,96,3,1,0,1
17,0,96,3,1,0,1
23,0,96,3,1,0,1
22,0,96,3,1,0,1
16,0,258,3,1,0,1
22,0,50,2,2,0,1
27,0,96,3,1,0,1
20,0,96,3,1,0,1
13,0,93,2,1,0,0
21,0,96,3,1,0,1
14,0,96,3,1,0,1
22,0,75,2,1,0,1
23,0,96,3,1,0,1
16,0,258,3,1,0,1
11,0,258,3,1,0,1
21,0,188,2,2,0,1
25,0,96,3,1,0,1
18,0,258,3,1,0,1
20,0,96,3,1,0,1
17,0,96,3,0,0,1
32,0,96,3,1,0,1
21,0,258,3,1,0,1
22,0,45,3,1,0,0
19,0,82,2,1,0,1
19,0,211,2,1,0,1
23,0,96,3,1,0,1
18,0,96,3,1,0,1
28,0,211,2,2,0,1
18,0,96,3,1,0,0
28,0,96,3,1,0,1
26,0,96,3,1,0,1
19,0,258,3,1,0,0
21,0,96,3,1,0,1
11,0,112,2,1,0,1
