"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
0,1,0,0,0,0,3,9,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,5,0,1
1,1,1,1,1,0,47,28,1
0,0,0,0,0,0,9,1,1
1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,18,5,1
1,0,0,1,1,1,3,4,1
0,1,0,0,1,0,9,0,1
1,1,0,0,0,0,1,0,1
1,1,0,1,0,0,3,0,1
1,0,0,0,1,0,3,0,1
1,1,0,0,0,0,2,9,1
1,0,0,0,0,0,7,0,1
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,9,4,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2,0,1
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,23,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,8,3,1
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,5,0,1
1,1,0,0,0,0,19,1,1
0,0,0,0,0,0,0,8,1
1,0,0,0,0,1,2,0,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,9,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,12,1,1
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,7,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,19,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0
1,1,0,0,0,0,8,0,1
1,0,0,0,0,0,9,112,1
1,1,0,0,1,0,7,2,1
1,0,0,0,1,0,12,5,1
1,1,0,0,0,0,2,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2,2,1
1,1,0,0,1,0,24,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,8,1,1
0,1,0,0,0,0,3,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,8,0,1
1,1,0,0,0,0,2,9,1
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,15,0,1
0,0,0,0,0,0,4,4,1
1,0,0,0,0,0,7,1,1
1,1,1,1,1,0,5,3,1
1,0,0,0,0,0,12,0,1
0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,6,4,1
1,1,0,0,1,0,71,9,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,15,15,1
1,1,0,1,1,0,7,29,1
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,27,3,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,10,0,1
0,0,0,0,0,0,4,0,1
1,1,0,0,0,0,14,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,2,0,1
1,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,21,0,1
1,1,0,0,0,0,12,0,1
1,1,0,0,1,0,9,2,1
0,0,0,0,0,0,3,0,1
1,1,0,1,1,0,9,0,1
1,1,0,0,0,0,19,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,0,1
1,1,0,0,0,0,2,0,1
1,1,0,0,0,0,21,5,1
0,0,0,0,0,0,2,0,0
0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,9,6,1
1,0,1,0,0,0,1,0,0
0,1,0,1,0,0,18,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,8,0,1
1,1,0,0,1,0,4,0,1
1,1,0,0,0,0,1,0,1
1,1,1,0,0,0,51,0,1
0,0,0,1,1,0,9,10,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,38,7,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
0,1,0,0,0,0,0,0,0
1,1,1,0,0,0,12,1,1
1,0,0,0,0,0,11,1,1
0,1,0,0,0,0,2,0,0
1,1,1,1,1,0,4,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,15,32,1
0,1,1,0,1,0,22,0,1
0,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,15,1,1
0,0,0,0,0,0,21,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,5,1
1,1,0,0,0,0,13,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,5,0,1
0,0,0,0,0,0,1,1,1
1,0,1,1,1,0,2,3,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,12,1
0,1,0,0,1,0,9,0,1
0,0,0,0,1,0,13,0,1
0,0,0,0,0,0,3,5,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,7,1,1
1,1,0,0,1,0,21,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,10,0,1
1,1,0,0,1,0,4,0,1
0,0,0,0,1,0,12,2,1
1,1,0,1,1,0,9,0,1
1,1,1,1,1,0,2,0,1
1,1,1,1,1,0,7,1,1
0,0,0,0,0,0,9,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,1
1,0,0,0,0,0,12,5,1
0,0,0,0,0,0,5,6,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0
0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,15,1,1
1,1,0,0,0,0,23,0,0
0,0,0,0,1,0,21,3,1
1,0,1,1,1,0,9,6,1
1,0,0,0,1,0,7,1,1
0,0,0,0,0,0,14,4,1
0,1,0,0,1,0,13,1,1
1,1,0,0,0,0,16,1,1
1,0,0,0,1,0,4,1,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,18,10,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,32,1,1
0,0,0,1,1,0,9,1,1
1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,11,1,1
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,24,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
1,1,0,1,0,0,4,13,1
1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,10,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,13,5,1
1,1,0,0,0,0,10,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,3,5,0
0,1,1,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,0
1,1,0,0,0,1,17,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1
1,0,0,0,1,0,9,5,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,104,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,23,0,1
0,0,0,0,0,0,1,2,1
1,1,0,0,1,0,15,0,1
1,0,0,0,1,0,10,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,4,1
0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,19,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,3,1
0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,1,0,0
0,1,0,0,1,0,4,0,1
1,1,0,0,0,0,18,0,1
1,1,1,1,1,0,4,8,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1
1,1,1,0,1,0,17,13,1
1,1,0,1,1,0,14,9,1
1,0,0,0,1,0,33,0,1
