"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
1,0,0,0,0,1,1,0,0
1,1,0,1,0,0,43,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,6,1,1
0,1,0,0,0,0,5,0,1
0,0,0,0,0,0,4,0,1
1,0,0,0,0,0,21,5,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,247,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,8,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,10,0,1
1,1,1,1,1,0,40,4,1
1,1,0,0,0,0,3,8,1
0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,2,0,1
1,1,0,0,0,0,8,0,1
1,1,0,0,1,1,11,0,1
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,11,0,1
1,1,0,0,0,0,59,2,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,5,3,1
0,1,0,0,1,0,3,3,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1
0,1,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,17,6,1
0,1,0,0,1,0,8,5,1
1,1,1,0,0,0,4,0,1
1,0,0,0,0,0,0,0,1
1,1,0,0,1,0,22,4,1
1,1,0,1,1,0,6,9,1
