"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
1,0,0,1,0,1,6,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,14,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,4,1
0,0,0,0,0,0,6,0,0
1,1,0,0,0,0,4,0,1
1,1,1,0,0,0,1,0,1
1,1,0,0,1,1,8,174,1
1,1,1,0,1,0,1,0,0
1,1,0,0,1,0,26,2,1
1,1,0,0,0,0,2,0,1
1,1,1,1,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,14,1,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
1,1,0,1,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,7,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,1
1,0,1,1,0,0,3,1,0
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,24,0,1
1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,3,0,0
1,1,1,0,1,0,74,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,13,7,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,4,12,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,4,0,1
1,1,0,0,0,0,18,1,1
1,1,0,0,0,0,2,0,1
1,1,0,0,0,0,27,20,1
1,1,1,0,1,0,19,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,6,1
1,1,1,1,1,0,16,1,1
0,1,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,13,2,1
0,0,0,0,0,0,2,0,1
1,1,0,0,0,0,4,2,0
1,1,1,1,1,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,2021,6,1
1,0,0,0,0,0,4,6,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,10,13,1
0,0,0,0,0,0,9,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1
1,1,0,1,1,0,33,1,1
1,1,0,0,1,1,9,0,1
1,0,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,5,0,1
1,1,1,0,1,0,8,0,1
1,1,0,1,0,0,45,2,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,2,0,1
1,0,0,0,0,0,4,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,13,0,1
0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,3,4,1
1,1,1,0,1,0,10,1,1
0,0,0,0,0,0,7,1,1
1,1,0,0,1,0,27,2,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0
1,0,1,0,1,0,1,2,0
1,1,0,0,0,0,37,1,1
0,0,0,0,0,0,8,9,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,1
0,1,0,0,0,0,2,2,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,24,2,1
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,0,1
1,1,0,0,0,0,3,135,1
1,0,0,0,0,0,1,1,1
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,62,1,1
1,1,1,1,1,0,2,55,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,11,46,1
1,1,1,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,1
1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,1
1,1,0,0,1,0,58,9,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,2,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,40,0,1
0,1,0,0,1,0,4,15,1
1,0,0,0,1,0,9,7,1
0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
1,1,1,0,0,0,42,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,1,1
1,1,1,0,0,0,2,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,16,5,1
0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,22,13,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,31,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,17,7,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,9,0,1
1,1,1,0,1,0,10,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0
1,1,0,0,0,0,3,12,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,25,0,1
1,1,0,0,0,0,6,2,1
0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,8,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,24,1,1
0,0,0,0,0,0,0,0,0
