"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
28,0,267,11,1,0,1
17,0,248,2,0,0,1
16,0,345,2,3,0,1
21,0,96,3,1,0,1
26,0,96,3,1,0,1
23,0,96,3,1,0,1
15,0,96,3,2,0,0
15,0,191,2,1,0,1
28,0,345,2,2,0,1
17,0,223,3,2,0,1
12,0,96,3,1,0,1
15,0,50,2,2,0,1
21,0,96,3,1,0,1
13,0,96,3,1,0,1
16,0,258,3,1,0,1
31,0,290,2,1,0,1
15,0,96,3,1,0,1
19,0,96,3,1,0,1
60,0,96,3,1,0,1
46,0,96,3,1,0,1
13,0,96,3,1,0,0
12,0,93,2,1,0,0
12,0,96,3,1,0,1
13,1,24,2,2,0,1
37,0,335,3,3,0,1
11,0,200,2,1,0,0
13,0,96,3,1,0,1
12,0,258,3,1,0,1
37,0,302,4,1,0,1
14,0,96,3,1,0,1
25,0,96,3,1,0,1
13,0,96,3,0,0,1
13,0,56,2,1,0,1
16,0,96,3,1,0,0
26,0,96,3,1,0,1
26,0,96,3,1,0,1
17,0,96,3,1,0,1
24,0,96,3,1,0,1
33,0,94,2,2,0,1
42,0,96,3,1,0,1
26,0,96,3,1,0,1
10,0,112,2,1,0,1
31,0,136,2,3,0,1
19,0,96,3,1,0,1
15,0,335,3,1,0,1
27,0,341,2,3,0,1
14,0,93,2,1,0,0
21,0,345,2,2,0,1
17,0,71,2,1,0,1
10,0,328,2,0,0,0
20,0,96,3,1,0,1
20,0,176,4,1,0,0
18,0,96,3,1,0,1
11,0,258,3,0,0,0
17,0,258,3,1,0,1
24,0,96,3,1,0,0
7,0,112,2,0,0,0
13,0,170,2,2,0,1
20,0,96,3,1,0,1
18,0,258,3,1,0,1
18,0,96,3,1,0,1
24,0,84,2,1,0,1
11,0,96,3,0,0,0
21,0,45,3,1,0,1
23,0,96,3,1,0,1
19,0,258,3,1,0,1
29,0,96,3,1,0,1
26,0,96,3,1,0,1
13,0,150,3,1,0,1
14,0,290,2,1,0,1
18,0,242,3,1,0,1
12,0,258,3,1,0,1
16,0,45,3,1,0,1
19,0,93,2,2,0,1
30,0,96,3,1,0,1
26,0,96,3,1,0,0
15,0,242,3,1,0,1
16,0,48,4,0,0,1
18,0,96,3,1,0,1
16,0,96,3,1,0,1
19,0,96,3,1,0,1
21,0,150,3,2,0,1
14,0,296,2,1,0,1
21,0,96,3,1,0,1
25,0,290,2,2,0,1
26,0,287,2,1,0,0
19,0,96,3,1,0,1
27,0,96,3,1,0,1
21,0,91,4,2,0,1
19,0,71,2,2,0,1
25,0,96,3,1,0,1
16,0,96,3,1,0,1
15,0,96,3,1,1,1
20,0,96,3,1,0,1
17,0,131,7,1,0,0
14,0,242,3,1,0,1
25,0,96,3,2,0,1
16,0,248,2,1,0,1
16,0,96,3,1,0,1
17,0,96,3,1,0,1
21,0,258,3,1,0,1
9,0,128,2,0,0,1
74,0,205,4,2,0,1
22,0,96,3,2,0,1
22,0,96,3,1,0,0
22,0,345,2,2,0,1
28,0,258,3,1,0,1
16,0,96,3,1,0,1
15,0,258,3,1,0,1
16,0,96,3,1,0,1
19,0,96,3,1,0,1
31,0,302,4,1,0,1
20,0,96,3,1,0,1
15,0,290,2,1,0,1
14,0,183,2,1,0,1
34,0,96,3,1,0,1
19,0,96,3,1,0,1
19,0,96,3,1,0,0
22,0,96,3,1,0,1
76,0,96,3,2,0,1
24,0,242,3,1,0,1
74,0,205,4,2,0,1
15,0,96,3,2,0,0
26,0,270,2,2,0,1
18,0,96,3,1,0,1
32,0,258,3,1,0,1
32,0,258,3,1,0,1
19,0,79,3,1,0,1
17,0,258,3,1,0,1
32,0,94,2,2,0,1
12,0,79,3,1,0,1
14,0,290,2,1,0,1
26,0,96,3,1,0,1
40,0,270,2,1,0,1
40,0,96,3,2,0,0
18,0,96,3,1,0,1
11,0,303,2,1,0,1
18,0,113,3,1,0,1
22,0,96,3,1,0,1
15,0,96,3,2,0,0
20,0,96,3,1,0,1
19,0,96,3,1,0,1
17,0,96,3,1,0,1
15,0,180,2,1,0,1
25,0,96,3,1,0,1
13,0,258,3,1,0,1
24,0,96,3,1,0,1
15,0,364,3,1,0,0
21,0,96,3,1,0,1
25,0,96,3,1,0,1
17,0,96,3,1,0,1
21,0,96,3,1,0,1
12,0,290,2,1,0,1
12,0,112,2,1,0,1
24,0,258,3,1,0,1
17,0,96,3,1,0,1
14,0,45,3,1,0,1
13,0,130,2,1,0,1
16,0,96,3,1,0,1
18,0,96,3,1,0,1
30,0,242,3,1,0,1
19,0,96,3,1,0,0
19,0,242,3,2,0,1
19,0,96,3,1,0,1
24,0,45,3,1,0,1
23,0,80,2,1,0,1
41,0,362,2,1,0,1
24,0,96,3,1,0,1
22,0,258,3,1,0,1
21,0,96,3,0,0,0
13,0,258,3,1,0,1
23,0,96,3,1,0,1
7,0,180,2,0,0,1
18,0,96,3,1,0,0
12,0,130,2,1,0,1
23,0,96,3,1,0,1
13,0,96,3,1,0,1
21,0,96,3,1,0,1
19,0,50,2,2,0,1
19,0,96,3,1,0,1
25,0,96,3,1,0,1
34,0,45,3,1,0,1
