"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
11,0,82,2,1,0,0
21,0,96,3,1,0,1
17,0,96,3,1,0,1
15,0,96,3,1,0,0
18,0,345,2,2,0,1
18,0,96,3,1,0,1
20,0,290,2,2,0,1
18,0,96,3,1,0,1
15,0,96,3,1,0,1
21,0,96,3,1,0,1
18,0,96,3,1,0,1
25,0,96,3,1,0,1
35,0,96,3,1,0,1
25,0,96,3,1,0,1
19,0,150,3,1,0,1
32,0,364,3,4,0,0
25,0,136,2,1,0,1
25,0,96,3,0,0,0
11,0,258,3,1,0,1
20,0,96,3,1,0,1
13,0,228,4,1,0,1
14,0,42,2,1,0,1
25,0,96,3,1,0,1
18,0,242,3,1,0,1
14,0,96,3,1,0,1
28,0,258,3,1,0,1
23,0,345,2,2,0,1
18,0,96,3,1,0,1
25,0,112,2,1,0,1
25,0,364,3,1,0,0
31,0,96,3,2,0,1
25,0,112,2,1,0,1
15,0,364,3,1,0,0
18,0,175,2,1,0,1
42,0,96,3,1,0,0
25,0,96,3,1,0,1
17,0,141,2,2,0,0
52,0,96,3,1,0,1
35,0,290,2,1,0,1
27,0,187,2,2,0,1
18,0,96,3,1,0,1
20,0,88,2,0,0,1
21,0,96,3,1,0,1
17,0,96,3,1,0,1
21,0,96,3,1,0,1
15,0,185,2,2,0,1
11,0,290,2,1,0,1
24,0,96,3,1,0,1
23,0,345,2,2,0,1
24,0,96,3,1,0,1
17,0,83,3,1,0,0
15,0,180,2,1,0,1
14,0,96,3,1,0,1
36,0,335,3,3,0,1
32,0,183,2,1,0,1
14,0,242,3,1,0,1
13,0,180,2,1,0,1
17,0,96,3,2,0,0
31,0,96,3,1,0,1
16,0,191,2,2,0,1
19,0,248,2,1,0,1
13,0,225,2,1,0,1
22,0,298,2,2,0,1
15,0,96,3,1,0,1
27,0,96,3,2,0,1
25,0,302,4,1,0,1
14,0,96,3,1,0,1
19,0,96,3,1,0,1
32,0,96,3,0,0,1
27,0,136,2,1,0,1
23,0,96,3,1,0,1
15,0,96,3,1,0,1
22,0,249,2,1,0,1
13,0,128,2,1,0,0
27,0,50,2,2,0,1
13,0,258,3,1,0,1
22,0,96,3,1,0,1
25,0,176,4,1,0,1
13,0,277,2,1,0,1
23,0,242,3,1,0,1
26,0,96,3,1,0,1
14,0,290,2,1,0,1
15,0,96,3,1,0,0
84,0,96,3,3,1,0
39,0,96,3,1,0,1
24,0,96,3,0,0,1
20,0,75,2,1,0,0
20,0,96,3,1,0,1
15,0,96,3,1,0,1
17,0,96,3,1,0,1
27,0,302,4,1,0,1
16,0,96,3,1,0,1
14,0,96,3,1,0,1
17,0,258,3,1,0,1
17,0,152,2,1,0,1
13,0,136,2,1,0,1
19,0,152,2,1,0,1
15,0,96,3,1,0,1
16,0,96,3,1,0,1
25,0,290,2,2,0,1
20,0,71,2,2,0,1
17,0,96,3,1,0,0
17,0,96,3,1,0,1
11,0,96,3,0,0,0
22,0,242,3,1,0,1
12,0,258,3,1,0,1
24,0,96,3,1,0,1
15,0,242,3,1,0,1
17,0,96,3,1,0,1
25,0,96,3,1,0,1
32,0,96,3,1,0,0
29,0,258,3,1,0,1
25,0,187,2,2,0,1
14,0,150,3,2,0,1
23,0,96,3,0,0,1
12,0,258,3,1,0,1
18,0,113,3,1,0,1
16,0,96,3,1,0,0
15,0,187,2,2,0,1
17,0,248,2,1,0,1
16,0,96,3,1,0,1
21,0,96,3,1,0,1
15,0,270,2,1,0,1
30,0,136,2,1,0,1
21,0,150,3,2,0,1
17,0,96,3,1,0,1
23,0,96,3,2,0,1
23,0,258,3,1,0,1
15,0,49,2,1,0,1
28,0,45,3,1,0,1
16,0,96,3,1,0,1
9,0,217,2,1,0,0
35,0,270,2,1,0,0
14,0,96,3,1,0,1
16,0,96,3,1,0,0
15,0,96,3,0,0,1
21,0,253,2,2,0,1
20,0,96,3,1,0,1
27,0,96,3,1,0,1
26,0,302,4,1,0,1
18,0,258,3,1,0,1
16,0,49,2,1,0,1
21,0,96,3,1,0,1
28,0,45,3,1,0,1
16,0,258,3,1,0,1
60,0,96,3,3,0,0
23,0,96,3,1,0,1
21,0,345,2,2,0,1
10,0,73,2,1,0,1
20,0,96,3,1,0,0
14,0,96,3,1,0,0
29,0,96,3,1,0,1
13,0,180,2,1,0,1
21,0,96,3,1,0,1
27,0,302,4,1,0,1
12,0,123,3,1,0,1
29,0,96,3,1,0,1
26,0,242,3,2,0,1
16,0,96,3,1,0,1
15,0,112,2,1,0,1
22,0,96,3,1,0,1
18,0,258,3,1,0,1
23,0,345,2,3,0,1
16,0,96,3,0,0,0
27,0,332,2,3,0,0
25,0,345,2,2,0,1
22,0,96,3,1,0,1
13,0,258,3,1,0,1
32,0,45,3,1,0,0
22,0,96,3,1,0,1
26,0,96,3,1,0,1
21,0,137,3,2,0,1
17,0,152,2,1,0,1
12,0,96,3,0,0,0
16,0,96,3,1,0,1
15,0,96,3,1,0,1
10,0,76,3,0,0,0
12,0,123,3,1,0,1
15,0,242,3,1,0,1
21,0,96,3,1,0,1
30,0,261,4,1,0,1
37,0,113,3,2,0,1
14,0,181,2,1,0,0
24,0,96,3,1,0,1
11,1,2,2,2,12,1
18,0,96,3,2,0,0
22,0,96,3,1,0,1
16,0,96,3,1,0,1
16,0,96,3,1,0,0
18,0,96,3,1,0,1
24,0,345,2,2,0,1
11,0,96,3,0,0,1
36,0,96,3,1,0,1
28,0,96,3,1,0,1
19,0,96,3,1,0,0
16,0,96,3,1,0,0
16,0,96,3,1,3,0
14,0,191,2,2,0,1
25,0,170,2,2,0,1
25,0,46,2,2,0,1
18,0,175,2,1,0,1
25,0,96,3,1,0,1
22,0,96,3,0,0,0
20,0,96,3,1,0,1
20,0,96,3,1,0,1
15,0,96,3,1,0,1
14,0,96,3,1,0,1
24,0,258,3,1,0,1
16,0,354,5,1,0,1
16,0,96,3,1,0,1
20,0,96,3,1,0,1
17,0,96,3,1,0,1
23,0,258,3,1,0,1
22,0,258,3,1,0,1
16,0,96,3,1,0,1
21,0,96,3,1,0,1
47,0,94,2,2,0,1
13,0,258,3,1,0,1
17,0,137,3,2,0,1
37,0,302,4,1,0,1
22,0,96,3,1,0,1
21,0,96,3,1,0,1
37,0,96,3,1,0,1
15,0,96,3,1,0,1
21,0,96,3,0,0,1
32,0,221,2,1,0,1
21,0,214,8,1,0,0
18,0,258,3,1,0,1
37,0,71,2,2,0,1
40,0,94,2,2,0,1
27,0,345,2,2,0,1
19,0,176,4,0,0,1
17,0,96,3,1,0,1
20,0,96,3,1,0,1
22,0,96,3,1,0,1
17,0,96,3,0,0,1
20,0,183,2,1,0,1
18,0,96,3,1,0,1
33,0,96,3,1,0,1
16,0,82,2,1,0,1
28,0,345,2,2,0,1
20,0,75,2,2,0,1
23,0,258,3,1,0,1
19,0,96,3,1,0,1
11,0,136,2,1,0,1
16,0,71,2,2,0,1
16,0,345,2,3,0,1
23,0,96,3,1,0,1
10,0,346,2,1,0,0
14,0,258,3,1,0,1
11,0,75,2,1,0,1
13,0,176,4,1,0,1
42,0,96,3,3,0,0
32,0,96,3,1,0,1
16,0,96,3,1,0,1
16,0,96,3,1,0,0
9,0,128,2,1,0,1
16,0,96,3,1,0,1
25,0,89,5,1,0,0
23,0,96,3,1,0,0
16,0,112,2,1,0,1
16,0,180,2,1,0,1
12,1,10,3,2,10,1
15,0,139,2,1,0,1
24,0,96,3,1,0,1
26,0,96,3,1,0,1
13,0,290,2,1,0,1
12,0,88,2,0,0,1
18,0,50,2,2,0,1
13,0,127,2,1,0,1
21,0,96,3,1,0,1
