"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
20,0,96,3,1,0,1
14,0,96,3,1,0,1
28,0,274,3,2,0,1
21,0,96,3,1,0,1
16,0,45,3,1,0,1
24,0,290,2,3,0,1
17,0,96,3,1,0,1
28,0,96,3,1,0,0
29,0,248,2,1,0,1
74,0,205,4,2,0,1
25,0,96,3,1,0,1
18,0,96,3,1,0,1
36,0,96,3,1,0,1
14,0,337,2,2,0,1
28,0,96,3,1,0,1
12,0,94,2,1,0,1
12,0,258,3,1,0,1
14,0,45,3,1,0,1
17,0,96,3,1,0,1
15,0,352,2,2,0,1
26,0,88,2,1,0,1
13,0,112,2,1,0,1
21,0,96,3,1,0,1
16,0,223,3,2,0,1
25,0,248,2,1,0,1
21,0,96,3,1,0,1
19,0,96,3,1,0,1
23,0,150,3,2,0,1
11,0,136,2,1,0,1
23,0,96,3,1,0,1
38,0,96,3,1,0,1
23,0,242,3,1,0,1
17,0,242,3,1,0,1
21,0,56,2,1,0,1
14,0,96,3,1,0,1
14,0,96,3,1,0,0
25,0,258,3,2,0,1
12,0,96,3,1,0,1
14,0,170,2,2,0,1
41,0,96,3,1,0,1
19,0,96,3,1,0,1
24,0,96,3,1,0,1
15,0,75,2,1,0,1
10,0,245,2,1,0,1
13,0,96,3,1,0,1
19,0,71,2,2,0,1
27,0,258,3,1,0,1
14,0,314,2,1,0,0
16,0,96,3,1,0,1
20,0,183,2,1,0,1
11,0,96,3,0,0,1
26,0,96,3,1,0,1
25,0,96,3,1,0,1
42,0,96,3,1,0,0
19,0,94,2,1,0,0
25,0,180,2,1,0,1
10,0,76,3,0,0,0
27,0,96,3,1,0,1
20,0,45,3,1,0,1
19,0,187,2,2,0,1
13,0,176,4,1,0,1
13,0,258,3,1,0,1
11,0,175,2,1,0,1
17,0,96,3,1,0,1
23,0,96,3,1,0,1
24,0,96,3,1,0,1
22,0,258,3,1,0,1
18,0,96,3,1,0,1
20,0,258,3,1,0,1
21,0,75,2,1,0,1
12,0,242,3,1,0,1
16,0,96,3,1,0,1
18,0,96,3,1,0,1
18,0,248,2,1,0,1
28,0,96,3,1,0,1
18,0,71,2,2,0,0
24,0,96,3,1,0,1
8,0,205,4,0,0,1
27,0,96,3,1,0,0
20,0,56,2,1,0,1
17,0,96,3,1,0,1
12,0,136,2,1,0,1
20,0,71,2,2,0,1
18,0,113,3,1,0,1
31,0,96,3,2,0,1
18,0,187,2,2,0,1
59,0,96,3,4,0,1
20,0,96,3,1,0,1
12,0,258,3,1,0,1
14,0,139,2,1,0,0
45,0,96,3,1,0,1
25,0,96,3,1,0,1
17,0,301,2,1,0,1
28,0,258,3,1,0,1
47,0,94,2,2,0,1
11,0,96,3,0,0,1
10,0,75,2,1,0,1
30,0,96,3,1,0,1
