"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
1,1,0,1,0,0,4,12,1
1,1,1,0,1,0,13,0,1
1,0,0,0,0,0,13,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,4,0,1
1,1,0,0,0,0,2,0,0
1,1,0,0,1,0,13,2,1
1,1,0,1,1,0,4,1,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,3,1
0,0,0,0,1,0,11,12,1
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,21,1
0,1,0,1,1,0,8,2,1
0,1,0,0,0,0,7,3,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,3,9,1
1,0,1,0,1,0,10,16,1
1,1,0,0,1,0,6,0,1
1,1,0,0,1,1,12,16,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1
0,0,0,0,1,0,2,0,1
1,1,1,1,1,1,35,29,1
1,1,0,0,1,0,19,1,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,5,2,1
1,1,0,0,1,0,5,0,1
1,0,0,1,1,0,18,0,1
1,1,1,0,1,0,13,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,5,1,1
1,1,1,0,1,0,9,3,1
1,1,0,1,0,0,5,6,1
0,1,0,0,0,0,4,5,1
1,0,0,1,0,0,7,0,1
0,0,0,0,0,0,6,6,1
0,1,0,0,0,0,46,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,0,1
1,1,0,1,0,0,11,0,1
0,1,0,0,0,0,4,0,1
1,1,1,1,1,0,7,6,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,3,0,1
1,0,0,0,1,0,9,13,1
1,1,1,1,1,0,3,0,1
1,0,0,0,0,0,2,0,0
0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,10,3,1
0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,1,1,1
1,1,0,0,1,0,19,1,1
0,1,0,1,1,0,2,0,1
1,0,0,0,0,0,25,40,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,16,2,1
1,0,0,0,0,0,6,1,1
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,2,0,0
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,7,26,1
1,1,0,0,0,0,26,3,1
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0
0,1,0,0,0,0,73,0,1
0,0,0,1,0,0,8,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0
0,1,0,0,1,0,6,0,1
1,1,0,0,0,0,36,0,1
1,0,0,0,1,1,2,8,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,1,1
0,0,0,0,1,0,24,2,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,17,0,1
1,1,0,0,1,1,34,0,1
1,1,1,1,0,0,27,6,1
1,1,1,1,1,0,1,0,0
1,0,0,0,0,0,3,1,1
1,1,0,0,0,0,36,2,1
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,8,5,1
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,4,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1
0,1,0,0,1,0,65,1,1
1,0,0,0,0,0,2,0,0
1,0,0,0,1,0,4,1,1
0,1,0,0,0,0,40,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,1,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,1
0,0,0,0,0,0,15,5,1
1,0,0,0,1,0,5,1,1
1,1,1,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,20,0,1
0,0,0,0,0,0,6,1,1
1,1,0,0,0,0,16,4,1
1,1,0,0,1,0,2,6,1
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,2,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,2,0,0
1,0,0,0,0,0,11,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,2,1
1,1,0,0,0,0,5,7,1
1,1,1,0,0,0,20,1,1
1,1,1,0,0,0,2,5,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,20,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,5,0,1
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,7,1,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,7,0,1
1,0,0,0,0,0,1,0,1
1,1,0,0,0,0,17,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1
1,1,1,1,1,0,7,2,1
1,1,0,0,0,0,16,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
1,0,0,0,0,0,1,3,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,12,1,1
0,1,0,0,0,0,55,0,1
0,1,0,0,0,0,1,2,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,0,1
0,1,1,0,0,0,4,0,1
0,0,0,0,0,0,10,1,1
1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,1
1,1,0,0,1,1,20,33,1
1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,8,2,1
1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,7,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,7,0,1
0,0,0,0,0,0,2,0,1
1,0,0,0,0,0,3,7,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,20,3,1
0,0,0,0,1,0,2,0,0
1,1,0,0,1,0,3,34,1
1,1,0,0,1,0,22,4,1
0,0,0,0,0,0,13,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,12,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,9,0,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,11,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
1,1,0,0,0,0,42,4,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,3,1
0,0,0,0,0,0,2,0,0
1,1,0,0,0,0,4,12,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,17,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,1
1,0,0,1,0,0,18,5,1
1,0,0,0,1,1,1,0,0
1,1,0,0,1,0,17,3,1
1,1,0,0,0,0,4,0,1
0,0,0,1,0,0,1,0,0
1,1,1,0,1,0,47,8,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,15,5,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,8,73,1
1,1,0,0,0,0,14,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,2,0,1
1,0,0,0,1,0,5,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,18,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,176,0,1
1,1,0,0,1,0,1,0,1
1,0,0,1,0,0,1,1,1
1,0,0,0,1,0,3,2,1
1,0,0,0,0,0,1,2,1
1,1,1,1,1,0,8,5,1
1,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,39,1,1
1,1,0,0,1,0,3,0,1
0,0,0,0,1,0,4,32,1
1,1,1,0,1,1,11,19,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,8,5,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,76,30,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,9,0,1
0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,4,0,1
0,1,0,1,1,0,3,0,0
0,1,0,0,1,0,33,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,9,0,1
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,2,1,1
1,0,0,0,0,0,11,4,1
1,1,0,0,0,0,5,0,1
1,1,1,1,1,0,2,0,1
1,0,0,0,0,0,5,14,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,6,0,1
0,0,0,0,0,0,3,0,1
1,1,0,0,0,0,2,4,1
1,1,0,0,1,0,29,4,1
0,1,1,0,1,0,11,44,1
0,1,0,0,1,0,4,0,1
1,1,0,0,0,0,10,9,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,36,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,20,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,4,0,1
1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,55,0,1
0,1,0,0,0,0,29,0,1
0,0,1,1,1,0,14,2,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
1,0,1,1,1,0,8,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,3,3,1
1,0,1,0,0,0,1,0,0
1,1,0,0,1,0,2,2,1
1,1,0,0,0,0,44,0,1
1,1,0,0,0,0,1,0,1
1,1,1,1,1,0,2,0,1
0,0,0,0,0,0,12,1,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1
0,0,0,1,1,0,24,2,1
0,0,0,0,0,0,0,0,0
