"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect"
20,0,75,2,1,0,1,0,0,0
14,0,237,2,1,0,1,1,0,0
31,0,50,2,2,0,1,1,1,0
25,0,180,2,1,0,1,0,0,0
19,0,242,3,1,0,1,1,0,1
20,0,96,3,1,0,1,1,0,0
29,0,180,2,1,0,0,0,0,0
20,0,96,3,1,0,1,0,1,0
25,0,258,3,1,0,1,1,0,0
21,0,96,3,1,0,1,1,1,0
37,0,113,3,2,0,1,0,1,0
13,0,258,3,1,0,1,1,0,0
17,0,96,3,1,0,1,0,0,0
17,0,153,2,1,0,1,0,1,0
16,0,96,3,1,0,1,1,0,0
19,0,96,3,1,0,1,1,1,0
20,0,96,3,1,0,1,0,0,0
22,0,96,3,1,0,1,1,0,0
21,0,96,3,1,0,1,0,0,0
18,0,258,3,1,0,1,0,1,0
21,0,270,2,1,0,1,0,1,0
17,0,96,3,1,0,1,1,0,0
20,0,96,3,1,0,1,0,0,0
11,0,191,2,1,0,1,1,1,0
17,0,248,2,1,0,1,0,0,0
19,0,84,2,1,0,1,1,0,0
20,0,96,3,1,0,1,0,0,0
19,0,96,3,1,0,1,0,1,1
15,0,96,3,1,0,1,1,0,0
15,0,161,2,2,0,1,0,1,0
14,0,258,3,1,0,1,0,1,1
18,0,337,2,2,0,1,1,0,0
19,0,180,2,1,0,1,0,0,0
18,0,276,2,1,0,1,1,1,0
28,0,112,2,1,0,1,1,0,0
24,0,345,2,2,0,1,0,0,1
12,0,96,3,0,0,1,0,1,0
18,0,248,2,1,0,1,1,1,0
23,0,96,3,1,0,1,1,0,0
13,0,258,3,1,0,1,1,0,0
43,0,128,2,3,0,1,0,0,0
22,0,96,3,1,0,1,0,1,1
16,0,96,3,1,0,1,1,0,0
18,0,270,2,1,0,1,0,1,0
27,0,96,3,1,0,1,0,1,1
23,0,96,3,1,0,1,0,0,0
21,0,249,2,2,0,1,1,1,0
16,0,96,3,1,0,1,1,1,0
23,0,112,2,1,0,1,1,1,0
25,0,258,3,1,0,1,1,1,0
