"HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit"
1,0,0,0,0,0,0
0,0,0,0,0,8,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,21,0
0,1,1,0,0,3,0
0,0,0,0,0,1,0
1,0,0,0,0,0,0
0,0,1,1,0,0,0
0,0,0,0,0,1,0
1,1,0,0,0,2,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,1
0,0,1,0,5,10,0
1,1,1,0,0,5,1
0,0,0,0,0,0,0
1,1,0,0,0,1,0
1,0,0,0,0,0,0
0,1,1,0,0,7,0
1,1,0,0,0,1,0
1,0,0,0,0,5,0
0,0,0,0,0,0,0
1,1,1,1,0,23,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,1
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,6,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,2,1
1,0,1,1,2,3,1
1,1,0,0,0,0,0
0,0,1,1,0,0,0
0,1,0,0,0,3,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,1,0
0,0,0,0,0,1,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,2,0
1,0,0,0,0,0,0
1,0,0,0,0,2,0
1,0,0,0,0,19,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,20,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,0
0,0,0,0,0,3,0
1,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,4,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,3,1,0
0,0,1,1,0,0,0
0,1,0,0,0,1,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,1,0
1,1,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,3,0
1,1,0,0,0,1,0
1,1,1,0,0,4,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,1,1,0
1,0,1,0,0,3,0
0,0,0,0,0,0,0
1,1,0,0,3,4,0
1,0,0,0,0,0,0
1,1,0,0,0,3,0
0,0,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,8,0
0,1,0,0,0,0,0
0,0,1,1,0,0,0
0,1,0,0,0,1,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,0,2,0
0,0,0,0,0,0,0
1,1,0,0,0,0,1
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,1,0,0
0,0,0,0,0,0,0
1,0,0,0,0,3,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,18,0
1,0,0,0,0,2,0
0,0,0,0,0,0,0
1,0,0,0,0,3,0
0,0,0,0,0,0,0
1,0,0,0,0,3,0
0,0,0,0,0,0,0
0,0,0,0,0,3,0
0,1,0,0,0,0,0
0,1,0,0,0,2,0
0,0,0,0,0,0,0
1,0,0,0,1,0,0
0,0,0,0,0,0,0
1,0,1,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,4,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,7,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,2,0
